Ord,Date,Time,Flow,Hydro
1,1/12/1995,1:00,1186,Jan-1995
2,1/12/1995,2:00,1176,Jan-1995
3,1/12/1995,3:00,1200,Jan-1995
4,1/12/1995,4:00,1214,Jan-1995
5,1/12/1995,5:00,1228,Jan-1995
6,1/12/1995,6:00,1242,Jan-1995
7,1/12/1995,7:00,1251,Jan-1995
8,1/12/1995,8:00,1265,Jan-1995
9,1/12/1995,9:00,1280,Jan-1995
10,1/12/1995,10:00,1215,Jan-1995
11,1/12/1995,11:00,1247,Jan-1995
12,1/12/1995,12:00,1268,Jan-1995
13,1/12/1995,13:00,1300,Jan-1995
14,1/12/1995,14:00,1331,Jan-1995
15,1/12/1995,15:00,1375,Jan-1995
16,1/12/1995,16:00,1385,Jan-1995
17,1/12/1995,17:00,1428,Jan-1995
18,1/12/1995,18:00,1459,Jan-1995
19,1/12/1995,19:00,1490,Jan-1995
20,1/12/1995,20:00,1533,Jan-1995
21,1/12/1995,21:00,1521,Jan-1995
22,1/12/1995,22:00,1521,Jan-1995
23,1/12/1995,23:00,1521,Jan-1995
24,1/13/1995,0:00,1521,Jan-1995
25,1/13/1995,1:00,1521,Jan-1995
26,1/13/1995,2:00,1522,Jan-1995
27,1/13/1995,3:00,1599,Jan-1995
28,1/13/1995,4:00,1701,Jan-1995
29,1/13/1995,5:00,1863,Jan-1995
30,1/13/1995,6:00,2072,Jan-1995
31,1/13/1995,7:00,2281,Jan-1995
32,1/13/1995,8:00,2609,Jan-1995
33,1/13/1995,9:00,2918,Jan-1995
34,1/13/1995,10:00,3259,Jan-1995
35,1/13/1995,11:00,3868,Jan-1995
36,1/13/1995,12:00,4465,Jan-1995
37,1/13/1995,13:00,5062,Jan-1995
38,1/13/1995,14:00,5592,Jan-1995
39,1/13/1995,15:00,6088,Jan-1995
40,1/13/1995,16:00,6535,Jan-1995
41,1/13/1995,17:00,6925,Jan-1995
42,1/13/1995,18:00,7325,Jan-1995
43,1/13/1995,19:00,7595,Jan-1995
44,1/13/1995,20:00,7893,Jan-1995
45,1/13/1995,21:00,8150,Jan-1995
46,1/13/1995,22:00,8139,Jan-1995
47,1/13/1995,23:00,8151,Jan-1995
48,1/14/1995,0:00,8151,Jan-1995
49,1/14/1995,1:00,8150,Jan-1995
50,1/14/1995,2:00,8150,Jan-1995
51,1/14/1995,3:00,8182,Jan-1995
52,1/14/1995,4:00,7982,Jan-1995
53,1/14/1995,5:00,8068,Jan-1995
54,1/14/1995,6:00,7735,Jan-1995
55,1/14/1995,7:00,7678,Jan-1995
56,1/14/1995,8:00,7443,Jan-1995
57,1/14/1995,9:00,7286,Jan-1995
58,1/14/1995,10:00,7007,Jan-1995
59,1/14/1995,11:00,6695,Jan-1995
60,1/14/1995,12:00,6395,Jan-1995
61,1/14/1995,13:00,6258,Jan-1995
62,1/14/1995,14:00,6116,Jan-1995
63,1/14/1995,15:00,5979,Jan-1995
64,1/14/1995,16:00,5842,Jan-1995
65,1/14/1995,17:00,5699,Jan-1995
66,1/14/1995,18:00,5562,Jan-1995
67,1/14/1995,19:00,5420,Jan-1995
68,1/14/1995,20:00,5254,Jan-1995
69,1/14/1995,21:00,5047,Jan-1995
70,1/14/1995,22:00,4939,Jan-1995
71,1/14/1995,23:00,4706,Jan-1995
72,1/15/1995,0:00,4668,Jan-1995
73,1/15/1995,1:00,4518,Jan-1995
74,1/15/1995,2:00,4422,Jan-1995
75,1/15/1995,3:00,4311,Jan-1995
76,1/15/1995,4:00,4220,Jan-1995
77,1/15/1995,5:00,4149,Jan-1995
78,1/15/1995,6:00,4078,Jan-1995
79,1/15/1995,7:00,4001,Jan-1995
80,1/15/1995,8:00,3934,Jan-1995
81,1/15/1995,9:00,3863,Jan-1995
82,1/15/1995,10:00,3791,Jan-1995
83,1/15/1995,11:00,3720,Jan-1995
84,1/15/1995,12:00,3648,Jan-1995
85,1/15/1995,13:00,3577,Jan-1995
86,1/15/1995,14:00,3505,Jan-1995
87,1/15/1995,15:00,3433,Jan-1995
88,1/15/1995,16:00,3367,Jan-1995
89,1/15/1995,17:00,3295,Jan-1995
90,1/15/1995,18:00,3224,Jan-1995
91,1/15/1995,19:00,3152,Jan-1995
92,1/15/1995,20:00,3071,Jan-1995
93,1/15/1995,21:00,3013,Jan-1995
94,1/15/1995,22:00,2981,Jan-1995
95,1/15/1995,23:00,2946,Jan-1995
96,1/16/1995,0:00,2897,Jan-1995
97,1/16/1995,1:00,2852,Jan-1995
98,1/16/1995,2:00,2803,Jan-1995
99,1/16/1995,3:00,2758,Jan-1995
100,1/16/1995,4:00,2693,Jan-1995
101,1/16/1995,5:00,2662,Jan-1995
102,1/16/1995,6:00,2627,Jan-1995
103,1/16/1995,7:00,2591,Jan-1995
104,1/16/1995,8:00,2560,Jan-1995
105,1/16/1995,9:00,2520,Jan-1995
106,1/16/1995,10:00,2489,Jan-1995
107,1/16/1995,11:00,2454,Jan-1995
108,1/16/1995,12:00,2418,Jan-1995
109,1/16/1995,13:00,2388,Jan-1995
110,1/16/1995,14:00,2352,Jan-1995
111,1/16/1995,15:00,2322,Jan-1995
112,1/16/1995,16:00,2286,Jan-1995
113,1/16/1995,17:00,2246,Jan-1995
114,1/16/1995,18:00,2215,Jan-1995
115,1/16/1995,19:00,2180,Jan-1995
116,1/16/1995,20:00,2149,Jan-1995
117,1/16/1995,21:00,2114,Jan-1995
118,1/16/1995,22:00,2094,Jan-1995
119,1/16/1995,23:00,2060,Jan-1995
120,1/17/1995,0:00,2041,Jan-1995
121,1/17/1995,1:00,2027,Jan-1995
122,1/17/1995,2:00,2003,Jan-1995
123,1/17/1995,3:00,1974,Jan-1995
124,1/17/1995,4:00,1965,Jan-1995
125,1/17/1995,5:00,1955,Jan-1995
126,1/17/1995,6:00,1941,Jan-1995
