Ord,Date,Time,Flow,Hydro
1,12/26/1998,1:00,1083,Dec - 1999
2,12/26/1998,2:00,1107,Dec - 1999
3,12/26/1998,3:00,1127,Dec - 1999
4,12/26/1998,4:00,1132,Dec - 1999
5,12/26/1998,5:00,1137,Dec - 1999
6,12/26/1998,6:00,1137,Dec - 1999
7,12/26/1998,7:00,1142,Dec - 1999
8,12/26/1998,8:00,1138,Dec - 1999
9,12/26/1998,9:00,1142,Dec - 1999
10,12/26/1998,10:00,1142,Dec - 1999
11,12/26/1998,11:00,1147,Dec - 1999
12,12/26/1998,12:00,1147,Dec - 1999
13,12/26/1998,13:00,1152,Dec - 1999
14,12/26/1998,14:00,1152,Dec - 1999
15,12/26/1998,15:00,1157,Dec - 1999
16,12/26/1998,16:00,1152,Dec - 1999
17,12/26/1998,17:00,1157,Dec - 1999
18,12/26/1998,18:00,1157,Dec - 1999
19,12/26/1998,19:00,1162,Dec - 1999
20,12/26/1998,20:00,1152,Dec - 1999
21,12/26/1998,21:00,1162,Dec - 1999
22,12/26/1998,22:00,1152,Dec - 1999
23,12/26/1998,23:00,1147,Dec - 1999
24,12/27/1998,0:00,1142,Dec - 1999
25,12/27/1998,1:00,1133,Dec - 1999
26,12/27/1998,2:00,1144,Dec - 1999
27,12/27/1998,3:00,1122,Dec - 1999
28,12/27/1998,4:00,1134,Dec - 1999
29,12/27/1998,5:00,1124,Dec - 1999
30,12/27/1998,6:00,1125,Dec - 1999
31,12/27/1998,7:00,1125,Dec - 1999
32,12/27/1998,8:00,1159,Dec - 1999
33,12/27/1998,9:00,1225,Dec - 1999
34,12/27/1998,10:00,1281,Dec - 1999
35,12/27/1998,11:00,1436,Dec - 1999
36,12/27/1998,12:00,1590,Dec - 1999
37,12/27/1998,13:00,1745,Dec - 1999
38,12/27/1998,14:00,1922,Dec - 1999
39,12/27/1998,15:00,2258,Dec - 1999
40,12/27/1998,16:00,2618,Dec - 1999
41,12/27/1998,17:00,2961,Dec - 1999
42,12/27/1998,18:00,3288,Dec - 1999
43,12/27/1998,19:00,4119,Dec - 1999
44,12/27/1998,20:00,4899,Dec - 1999
45,12/27/1998,21:00,5697,Dec - 1999
46,12/27/1998,22:00,6638,Dec - 1999
47,12/27/1998,23:00,7580,Dec - 1999
48,12/28/1998,0:00,8522,Dec - 1999
49,12/28/1998,1:00,9464,Dec - 1999
50,12/28/1998,2:00,10213,Dec - 1999
51,12/28/1998,3:00,10738,Dec - 1999
52,12/28/1998,4:00,11256,Dec - 1999
53,12/28/1998,5:00,11800,Dec - 1999
54,12/28/1998,6:00,11852,Dec - 1999
55,12/28/1998,7:00,11810,Dec - 1999
56,12/28/1998,8:00,11773,Dec - 1999
57,12/28/1998,9:00,11459,Dec - 1999
58,12/28/1998,10:00,11079,Dec - 1999
59,12/28/1998,11:00,10761,Dec - 1999
60,12/28/1998,12:00,10443,Dec - 1999
61,12/28/1998,13:00,10124,Dec - 1999
62,12/28/1998,14:00,10029,Dec - 1999
63,12/28/1998,15:00,9767,Dec - 1999
64,12/28/1998,16:00,9494,Dec - 1999
65,12/28/1998,17:00,9177,Dec - 1999
66,12/28/1998,18:00,8970,Dec - 1999
67,12/28/1998,19:00,8763,Dec - 1999
