Ordinate,Stage_FT,Storage_ACFT,Discharge_CFS,Model
78,1716.40,217719.00,55171.00,CGR_Adjusted _Debris_NoGates
79,1717.40,219145.00,72220.00,CGR_Adjusted _Debris_NoGates
80,1718.40,220580.00,90468.00,CGR_Adjusted _Debris_NoGates
1,1500.00,33748.00,0.00,CGR_Adjusted_BestEstimate
2,1520.40,43500.00,100.00,CGR_Adjusted_BestEstimate
3,1541.40,54900.00,100.00,CGR_Adjusted_BestEstimate
4,1564.40,68600.00,100.00,CGR_Adjusted_BestEstimate
5,1584.40,82300.00,100.00,CGR_Adjusted_BestEstimate
6,1604.40,97800.00,1500.00,CGR_Adjusted_BestEstimate
7,1624.40,115100.00,1500.00,CGR_Adjusted_BestEstimate
8,1644.40,134000.00,1500.00,CGR_Adjusted_BestEstimate
9,1654.40,144100.00,2000.00,CGR_Adjusted_BestEstimate
10,1661.40,151500.00,2500.00,CGR_Adjusted_BestEstimate
11,1664.40,154700.00,2500.00,CGR_Adjusted_BestEstimate
12,1674.40,165700.00,2500.00,CGR_Adjusted_BestEstimate
13,1684.40,177100.00,2500.00,CGR_Adjusted_BestEstimate
14,1690.40,184200.00,2500.00,CGR_Adjusted_BestEstimate
15,1692.40,186600.00,3000.00,CGR_Adjusted_BestEstimate
16,1694.40,189000.00,5000.00,CGR_Adjusted_BestEstimate
17,1696.40,191400.00,10000.00,CGR_Adjusted_BestEstimate
18,1698.40,193900.00,15000.00,CGR_Adjusted_BestEstimate
19,1700.40,196300.00,18000.00,CGR_Adjusted_BestEstimate
20,1702.40,198800.00,40000.00,CGR_Adjusted_BestEstimate
21,1703.40,200000.00,87459.00,CGR_Adjusted_BestEstimate
22,1704.40,201309.00,88938.00,CGR_Adjusted_BestEstimate
23,1706.40,203954.00,91785.00,CGR_Adjusted_BestEstimate
24,1708.40,206635.00,94159.00,CGR_Adjusted_BestEstimate
25,1710.40,209352.00,96540.00,CGR_Adjusted_BestEstimate
26,1712.40,212105.00,101340.00,CGR_Adjusted_BestEstimate
27,1714.40,214894.00,117302.00,CGR_Adjusted_BestEstimate
28,1716.40,217719.00,146481.00,CGR_Adjusted_BestEstimate
29,1718.40,220580.00,183722.00,CGR_Adjusted_BestEstimate
1,1500.00,33748.00,0.00,CGR_Adjusted_BestEstimate_DelayedOps
2,1520.40,43500.00,100.00,CGR_Adjusted_BestEstimate_DelayedOps
3,1541.40,54900.00,100.00,CGR_Adjusted_BestEstimate_DelayedOps
4,1564.40,68600.00,100.00,CGR_Adjusted_BestEstimate_DelayedOps
5,1584.40,82300.00,100.00,CGR_Adjusted_BestEstimate_DelayedOps
6,1604.40,97800.00,1500.00,CGR_Adjusted_BestEstimate_DelayedOps
7,1624.40,115100.00,1500.00,CGR_Adjusted_BestEstimate_DelayedOps
8,1644.40,134000.00,1500.00,CGR_Adjusted_BestEstimate_DelayedOps
9,1654.40,144100.00,2000.00,CGR_Adjusted_BestEstimate_DelayedOps
10,1661.40,151500.00,2500.00,CGR_Adjusted_BestEstimate_DelayedOps
11,1664.40,154700.00,2500.00,CGR_Adjusted_BestEstimate_DelayedOps
12,1674.40,165700.00,2500.00,CGR_Adjusted_BestEstimate_DelayedOps
13,1684.40,177100.00,2500.00,CGR_Adjusted_BestEstimate_DelayedOps
14,1690.40,184200.00,2500.00,CGR_Adjusted_BestEstimate_DelayedOps
15,1692.40,186600.00,3000.00,CGR_Adjusted_BestEstimate_DelayedOps
16,1694.40,189000.00,5000.00,CGR_Adjusted_BestEstimate_DelayedOps
17,1696.40,191400.00,10000.00,CGR_Adjusted_BestEstimate_DelayedOps
18,1698.40,193900.00,15000.00,CGR_Adjusted_BestEstimate_DelayedOps
19,1700.40,196300.00,18000.00,CGR_Adjusted_BestEstimate_DelayedOps
20,1702.40,198800.00,25000.00,CGR_Adjusted_BestEstimate_DelayedOps
21,1703.40,200000.00,30000.00,CGR_Adjusted_BestEstimate_DelayedOps
22,1704.40,201309.00,35000.00,CGR_Adjusted_BestEstimate_DelayedOps
23,1706.40,203954.00,40000.00,CGR_Adjusted_BestEstimate_DelayedOps
24,1708.40,206635.00,45000.00,CGR_Adjusted_BestEstimate_DelayedOps
25,1710.40,209352.00,96540.00,CGR_Adjusted_BestEstimate_DelayedOps
26,1712.40,212105.00,101340.00,CGR_Adjusted_BestEstimate_DelayedOps
27,1714.40,214894.00,117302.00,CGR_Adjusted_BestEstimate_DelayedOps
28,1716.40,217719.00,146481.00,CGR_Adjusted_BestEstimate_DelayedOps
29,1718.40,220580.00,183722.00,CGR_Adjusted_BestEstimate_DelayedOps
1,1500.00,33748.00,0.00,CGR_Adjusted_Debris_100P
2,1520.40,43500.00,100.00,CGR_Adjusted_Debris_100P
3,1541.40,54900.00,100.00,CGR_Adjusted_Debris_100P
4,1564.40,68600.00,100.00,CGR_Adjusted_Debris_100P
5,1584.40,82300.00,100.00,CGR_Adjusted_Debris_100P
6,1604.40,97800.00,1500.00,CGR_Adjusted_Debris_100P
7,1624.40,115100.00,1500.00,CGR_Adjusted_Debris_100P
8,1644.40,134000.00,1500.00,CGR_Adjusted_Debris_100P
9,1654.40,144100.00,2000.00,CGR_Adjusted_Debris_100P
10,1661.40,151500.00,2500.00,CGR_Adjusted_Debris_100P
11,1664.40,154700.00,3000.00,CGR_Adjusted_Debris_100P
12,1674.40,165700.00,3000.00,CGR_Adjusted_Debris_100P
13,1684.40,177100.00,3000.00,CGR_Adjusted_Debris_100P
14,1690.40,184200.00,3000.00,CGR_Adjusted_Debris_100P
15,1692.40,186600.00,4000.00,CGR_Adjusted_Debris_100P
16,1694.40,189000.00,5000.00,CGR_Adjusted_Debris_100P
17,1696.40,191400.00,10000.00,CGR_Adjusted_Debris_100P
18,1698.40,193900.00,12821.00,CGR_Adjusted_Debris_100P
19,1700.40,196300.00,12876.00,CGR_Adjusted_Debris_100P
20,1702.40,198800.00,12931.00,CGR_Adjusted_Debris_100P
21,1703.40,200000.00,12959.00,CGR_Adjusted_Debris_100P
22,1704.40,201309.00,12988.00,CGR_Adjusted_Debris_100P
23,1706.40,203954.00,13035.00,CGR_Adjusted_Debris_100P
24,1708.40,206635.00,13035.00,CGR_Adjusted_Debris_100P
25,1710.40,209352.00,13035.00,CGR_Adjusted_Debris_100P
26,1712.40,212105.00,14690.00,CGR_Adjusted_Debris_100P
27,1714.40,214894.00,28202.00,CGR_Adjusted_Debris_100P
28,1716.40,217719.00,54981.00,CGR_Adjusted_Debris_100P
29,1718.40,220580.00,89872.00,CGR_Adjusted_Debris_100P
1,1500.00,33748.00,0.00,CGR_Adjusted_Debris_10P
