Ordinate,Stage_FT,Storage_ACFT,Discharge_CFS,Model
57,1695.40,190200.00,67292.00,CGR_MaxCapacity
58,1696.40,191400.00,69718.00,CGR_MaxCapacity
59,1697.40,192600.00,72145.00,CGR_MaxCapacity
60,1698.40,193900.00,74573.00,CGR_MaxCapacity
61,1699.40,195100.00,77000.00,CGR_MaxCapacity
62,1700.40,196300.00,79624.00,CGR_MaxCapacity
63,1701.40,197600.00,82252.00,CGR_MaxCapacity
64,1702.40,198800.00,84879.00,CGR_MaxCapacity
65,1703.40,200000.00,87507.00,CGR_MaxCapacity
66,1704.40,201309.00,88960.00,CGR_MaxCapacity
67,1705.40,202627.00,90388.00,CGR_MaxCapacity
68,1706.40,203954.00,91807.00,CGR_MaxCapacity
69,1707.40,205290.00,93169.00,CGR_MaxCapacity
70,1708.40,206635.00,94183.00,CGR_MaxCapacity
71,1709.40,207989.00,95194.00,CGR_MaxCapacity
72,1710.40,209352.00,96514.00,CGR_MaxCapacity
73,1711.40,210724.00,98084.00,CGR_MaxCapacity
74,1712.40,212105.00,101366.00,CGR_MaxCapacity
75,1713.40,213495.00,107046.00,CGR_MaxCapacity
76,1714.40,214894.00,116957.00,CGR_MaxCapacity
77,1715.40,216302.00,131230.00,CGR_MaxCapacity
78,1716.40,217719.00,146747.00,CGR_MaxCapacity
79,1717.40,219145.00,164996.00,CGR_MaxCapacity
80,1718.40,220580.00,184346.00,CGR_MaxCapacity
