site_name,GEV_xi,GEV_alpha,GEV_kappa,ERL,Mean_UL_resid,Mean_Exp_resid,Mean_UL_PerDiff,Mean_Exp_PerDiff,SSE_UL,SSE_Exp,MSE_UL,MSE_Exp,RMSE_UL,RMSE_Exp
Blue River,6.50060965255846,1.4167755364985513,-0.0658813599516738,495,0.3647671957274454,0.07314786185173716,0.01175608148808402,-0.03895215180960901,5.261477548167307,161.8675287544334,0.004295083712789639,0.13213675816688442,0.06553688818359961,0.36350620100196973
Blue River,6.50060965255846,1.4167755364985513,-0.0658813599516738,474,0.2928765404188898,0.07488257437247281,0.010267350252182764,-0.041927421851794634,2.7203448436682587,186.03038052559845,0.0022206896683006194,0.1518615351229375,0.047124194086484064,0.3896941558747546
Cougar,6.49849869774525,1.3064727812670274,-0.06631596651772198,477,0.9508911564732152,0.02735151445296502,0.025699298422251996,-0.042162173434490725,7.8577928039468885,167.43675753644115,0.006414524737915827,0.13668306737668665,0.08009072816447499,0.36970673158151535
Cougar,6.49849869774525,1.3064727812670274,-0.06631596651772198,449,0.6957110334872283,0.026562898751373076,0.020446921302976456,-0.04261455388067588,3.823673291540808,168.80870927500482,0.0031213659522782104,0.13780302797959576,0.05586918607137758,0.3712183023230344
Fall Creek,5.964666605373115,1.2321814593526046,-0.052784934273942666,345,3.223264593851752,0.0858748760113901,0.028612865282554426,-0.051113894082270676,44.29713563455342,166.9628361178866,0.03616092704861504,0.1362961927492952,0.19016026674522477,0.36918314255839907
Fall Creek,5.964666605373115,1.2321814593526046,-0.052784934273942666,329,2.657470525111407,0.09537276484341639,0.023536555472744428,-0.05597003167910393,30.540048722837508,206.1851337697257,0.024930652018642863,0.1683143949140618,0.15789443314646295,0.4102613738996907
Foster,6.657453839771547,1.2328139913297989,-0.07366990814861438,445,2.1078007118831508,0.020862386079762096,0.03438218697203119,-0.04425900111522233,26.769694782730266,184.72592042937825,0.02185281206753491,0.15079666973826797,0.1478269666452468,0.3883254688251441
Foster,6.657453839771547,1.2328139913297989,-0.07366990814861438,414,1.2913720059646892,0.02161979717942142,0.026579646835612286,-0.04952941149677131,10.713194536983314,233.83432311939035,0.008745464928149644,0.19088516173011458,0.09351719054884852,0.43690406467566145
Green Peter,7.0946808259848115,1.3736469341499629,-0.054540772642593396,345,3.238304869945047,0.09926508537160483,0.028437964226946246,-0.04746764636330179,33.13662011283847,213.6766868645434,0.027050302132929364,0.17442994846085175,0.1644697605425671,0.4176481155959545
Green Peter,7.0946808259848115,1.3736469341499629,-0.054540772642593396,332,2.388015516806675,0.09984904261868266,0.023921702591242426,-0.051006218471426376,18.773969666524494,248.5816533794905,0.015325689523693464,0.2029237986771351,0.12379696896004144,0.45047064130433084
Hills Creek,5.004052792475591,1.0215262843851391,-0.07124781363031471,450,1.1841009411538401,0.01823540364566334,0.032903929771634914,-0.04439956806314978,12.422459263433769,117.7133932536512,0.010140783072190832,0.09609256592134792,0.10070145516421712,0.30998800931866366
Hills Creek,5.004052792475591,1.0215262843851391,-0.07124781363031471,445,0.9966782754445127,0.017715735194649085,0.030315113180866524,-0.045193718961407316,8.726054946953619,121.84231894558691,0.007123310160778464,0.09946311750660156,0.0843997047434318,0.315377737810711
Lookout Point,5.363190774063696,1.0121423354860113,-0.06452836480586302,345,3.494087434782138,0.01769851354952845,0.044046980479837856,-0.04880503134473387,49.588064647284945,139.63024438422886,0.040480052773293834,0.11398387296671744,0.201196552587995,0.33761497740283597
Lookout Point,5.363190774063696,1.0121423354860113,-0.06452836480586302,343,2.4723735198089116,0.02073592797289514,0.036200476760392515,-0.052851235302157705,25.21591947885764,161.82199471495642,0.020584424064373583,0.1320995875224134,0.14347272934036484,0.36345506946858425
