site_name,GEV_xi,GEV_alpha,GEV_kappa,ERL,Mean_UL_resid,Mean_Exp_resid,Mean_UL_PerDiff,Mean_Exp_PerDiff,SSE_UL,SSE_Exp,MSE_UL,MSE_Exp,RMSE_UL,RMSE_Exp
Blue River,6.50060965255846,1.4167755364985513,-0.0658813599516738,495,0.3647671957274454,0.07314786185173716,0.01175608148808402,-0.03895215180960901,5.261477548167307,161.8675287544334,0.004295083712789639,0.13213675816688442,0.06553688818359961,0.36350620100196973
Blue River,6.50060965255846,1.4167755364985513,-0.0658813599516738,474,0.2928765404188898,0.07488257437247281,0.010267350252182764,-0.041927421851794634,2.7203448436682587,186.03038052559845,0.0022206896683006194,0.1518615351229375,0.047124194086484064,0.3896941558747546
Blue River,6.50060965255846,1.4167755364985513,-0.0658813599516738,436,0.2796295944413121,0.07607467231382792,0.0042963484972071125,-0.04389426191792835,15.952944968931199,201.14781186171197,0.013022812219535673,0.1642022953973159,0.11411753686237568,0.40521882409053495
Blue River,6.50060965255846,1.4167755364985513,-0.0658813599516738,371,0.26606220205732534,0.07718000348755272,-0.0062358731024510505,-0.04970641350075019,55.18272745425337,268.39396613873316,0.04504712445245173,0.21909711521529238,0.21224307869151288,0.46807810802823535
Blue River,6.50060965255846,1.4167755364985513,-0.0658813599516738,317,0.2084823924762791,0.08216180970064446,-0.02602918502411729,-0.05781987658661474,187.57715131836775,374.30326465185334,0.15312420515785122,0.3055536854300844,0.3913108804491018,0.5527691067978423
Blue River,6.50060965255846,1.4167755364985513,-0.0658813599516738,198,0.11719055937562572,0.08613634468933995,-0.07326948740087012,-0.08844453628925311,783.0377563501665,857.280128779118,0.6392144949797278,0.6998205132890759,0.7995089086306217,0.8365527558313797
Blue River,6.50060965255846,1.4167755364985513,-0.0658813599516738,109,0.016146229863949202,0.09534951599670105,-0.190672264212686,-0.15641887146873834,4772.89563261866,2720.7276639819997,3.8962413327499266,2.2210021746791835,1.9738898988418596,1.4903027124309958
Cougar,6.49849869774525,1.3064727812670274,-0.06631596651772198,477,0.9508911564732152,0.02735151445296502,0.025699298422251996,-0.042162173434490725,7.8577928039468885,167.43675753644115,0.006414524737915827,0.13668306737668665,0.08009072816447499,0.36970673158151535
Cougar,6.49849869774525,1.3064727812670274,-0.06631596651772198,449,0.6957110334872283,0.026562898751373076,0.020446921302976456,-0.04261455388067588,3.823673291540808,168.80870927500482,0.0031213659522782104,0.13780302797959576,0.05586918607137758,0.3712183023230344
Cougar,6.49849869774525,1.3064727812670274,-0.06631596651772198,369,0.39910896550507147,0.02184765231188912,0.0039335657196898745,-0.04920768990123429,33.33617322551581,228.8662364407243,0.02721320263307413,0.1868295807679382,0.1649642465295863,0.4322378752121778
Cougar,6.49849869774525,1.3064727812670274,-0.06631596651772198,414,0.4124112444956296,0.02770325962434672,0.009731810952123396,-0.049412817839982186,8.96553126615768,229.3565110448269,0.007318801033598106,0.18722980493455257,0.08554999142956185,0.43270059502449565
Cougar,6.49849869774525,1.3064727812670274,-0.06631596651772198,288,0.3069081563360765,0.0239545720175256,-0.01722091010393408,-0.059840442396100174,122.36891095898036,337.7462346878185,0.09989298853794315,0.27571121199005594,0.31605852074883717,0.5250821002377208
Cougar,6.49849869774525,1.3064727812670274,-0.06631596651772198,198,0.22401138443796853,0.02683485078095238,-0.053091543737111904,-0.08728801794184109,479.3227031971884,737.0388401280974,0.39128383934464356,0.6016643592882428,0.6255268494194662,0.7756702645378658
Cougar,6.49849869774525,1.3064727812670274,-0.06631596651772198,80,0.026085427455386778,0.04877024261665497,-0.22191812399725896,-0.20582431480490437,6820.982484476332,4271.682184922492,5.568148966919455,3.4870874978959114,2.3596925577115875,1.8673744932112335
Fall Creek,5.964666605373115,1.2321814593526046,-0.052784934273942666,345,3.223264593851752,0.0858748760113901,0.028612865282554426,-0.051113894082270676,44.29713563455342,166.9628361178866,0.03616092704861504,0.1362961927492952,0.19016026674522477,0.36918314255839907
Fall Creek,5.964666605373115,1.2321814593526046,-0.052784934273942666,329,2.657470525111407,0.09537276484341639,0.023536555472744428,-0.05597003167910393,30.540048722837508,206.1851337697257,0.024930652018642863,0.1683143949140618,0.15789443314646295,0.4102613738996907
Fall Creek,5.964666605373115,1.2321814593526046,-0.052784934273942666,317,1.121444526465197,0.08899765539544191,0.016196605519693576,-0.05832193371064686,8.762982402477245,224.55427415515965,0.007153455022430404,0.18330961155523237,0.08457810013490728,0.42814671732390097
Fall Creek,5.964666605373115,1.2321814593526046,-0.052784934273942666,291,0.4842573502108465,0.08876909461803173,0.008970228063543018,-0.061834888006224685,2.11022026673538,246.97070677647224,0.0017226287891717387,0.2016087402256916,0.041504563474053534,0.4490086193222705
Fall Creek,5.964666605373115,1.2321814593526046,-0.052784934273942666,228,0.2514329935827071,0.08025709362544653,-0.009224844441286687,-0.07662750041357742,19.074954091611254,394.89291632616016,0.015571391095192861,0.3223615643478858,0.12478538013402396,0.5677689357017394
Fall Creek,5.964666605373115,1.2321814593526046,-0.052784934273942666,161,0.04917628027150478,0.070387649454811907,-0.04264186390417198,-0.09952040960238587,185.9102032109076,683.5173514429752,0.15176343119257765,0.5579733481167144,0.3895682625581525,0.7469761362431295
Fall Creek,5.964666605373115,1.2321814593526046,-0.052784934273942666,109,-0.06057844890720787,0.04294165982922671,-0.12652105556548687,-0.15104735662959617,1637.8167905202813,1603.54278984238,1.336993298383903,1.3090145223203102,1.1562842636583373,1.1441217253073688
