"AEP","Lower CI","Upper CI","Computed","Expected"
"0.99","4.405137416977949","4.790313265521976","4.600988199262989","4.5896631317503545"
"0.95","4.96832124649294","5.264686435903892","5.115958997210994","5.113674228234966"
"0.5","6.819057358893747","7.147706545620929","6.983204537757825","6.987782703689721"
"0.2","8.314102648225306","8.815578016149603","8.558905176995234","8.565960479774201"
"0.1","9.313477145854517","10.024748840614004","9.669254133598535","9.677332761431307"
"0.04","10.588364975072821","11.76329164073709","11.15355756374803","11.176573039200221"
"0.02","11.50793619601875","13.231257367674264","12.316595728083287","12.346657018631491"
"0.01","12.406240716057303","14.84323326586794","13.525963646360612","13.613107098947792"
"0.005","13.309692202933235","16.68172789786952","14.787915634663435","14.952210740906162"
"0.002","14.437740980004625","19.354034252448464","16.544433501943963","16.886152180062915"
"0.001","15.271072799922928","21.58759788245247","17.944737759853837","18.495830209789972"
"0.0005","16.099390419004813","24.094300791091953","19.410418700718452","20.252340751475753"
"0.0002","17.215279080009847","27.856997832109602","21.45390837390267","22.883520330700605"
"0.0001","18.00116209494778","31.083130116509935","23.084238507748466","25.09497968074406"
"0.00005","18.83499461332813","34.650803864866155","24.791201330352386","27.620691164746823"
"0.00002","19.919723066262666","39.643537730316154","27.17148616912813","31.3767341204204"
"0.00001","20.717172703422758","43.97760846261549","29.07066238955919","34.61518950996935"
"0.000005","21.443779349520646","48.900132595088365","31.059168364523636","38.219144758953114"
"0.000002","22.530816427198282","56.2303458209664","33.83209864198648","43.77895216125715"
"0.000001","23.347564422301687","62.306101139895866","36.04457482721865","48.57085979973035"
"5e-7","24.104209927244042","69.00476794049801","38.3611241641472","54.019483453069434"
"2e-7","25.184829516489764","79.29176125452089","41.591509436191224","62.30270497210831"
"1e-7","25.910497292829323","88.08974998878506","44.16898353105619","69.57653776188324"
"5e-8","26.661998102138305","97.63007669664037","46.86770080279098","77.73527023571253"
"2e-8","27.766934537181413","111.25099433340323","50.631012836566505","90.44365282670482"
"1e-8","28.519098954517297","122.75416162131917","53.633701092900196","101.55732653877662"
