variable,month,min,max,mean,sd,median,q25,q75
ppt,01,142.89089965820313,702.44287109375,240.6796980931417,77.91619388598373,221.68289184570313,169.76480102539063,298.5809020996094
ppt,02,100.10089874267578,537.91900634765625,178.82422737504405,55.34452523505402,166.88800048828125,129.12889099121094,218.97589111328125
ppt,03,100.56189727783203,493.14990234375,190.43623188480893,61.71994701824463,178.2469024658203,134.4918975830078,234.06700134277344
ppt,04,72.6448974609375,376.4468994140625,149.28681485546824,52.6264141410921,142.80490112304688,100.22100067138672,187.07489013671875
ppt,05,50.50090026855469,235.98789978027344,99.55214164296926,35.17239113503615,94.6240005493164,66.12590026855469,125.69889831542969
ppt,06,28.73189926147461,158.6457977294922,62.87497822285423,24.91804281872441,57.998897552490234,40.3588981628418,80.5667953491211
ppt,07,6.247900009155273,40.71500015258789,14.303443850948915,5.30692886761502,13.513899803161621,9.369799613952637,18.38800048828125
ppt,08,7.38100004196167,44.13800048828125,17.73966154378861,6.344406866902228,16.52589988708496,12.29889965057373,22.347898483276367
ppt,09,29.88089942932129,118.46389770507813,53.37595167133933,15.894850663913266,50.16389846801758,39.77289962768555,64.1448974609375
ppt,10,80.5468978881836,341.3309020996094,138.22537061471837,43.597182202025316,129.0959014892578,99.73889923095703,169.96389770507813
ppt,11,147.33689880371094,643.02789306640625,241.5636653721109,74.00272482041878,225.34500122070313,174.19290161132813,297.5480041503906
ppt,12,167.5638885498047,791.06390380859375,281.5996821039725,87.2522517431834,264.2109069824219,202.0218963623047,346.8428955078125
ppt,annual,975.97900390625,4279.69384765625,1668.4618536052133,521.5699627771588,1559.52099609375,1193.239013671875,2053.72802734375
