variable,month,min_IN,max_IN,mean_IN,sd_IN,median_IN,q25_IN,q75_IN
ppt,01,5.625625970795399,27.65523114542323,9.475578665084319,3.0675666884245567,8.727672907311147,6.683653583676796,11.755153625968873
ppt,02,3.9409802654596766,21.177913635734498,7.040323912403309,2.1789183163407095,6.570393720011073,5.083814605953187,8.621098075326033
ppt,03,3.9591298140878757,19.41535048597441,7.497489444283817,2.4299191739466393,7.017594585268516,5.294956597756213,9.215236273337537
ppt,04,2.860035333107776,14.820744071419785,5.8774336557270965,2.0719060685469333,5.622240201694759,3.945708687849871,7.365153154988928
ppt,05,1.9882244200218382,9.290862196073759,3.9193756552350103,1.3847398084659903,3.725354352335292,2.603381900336799,4.948775524229515
ppt,06,1.131177136278528,6.245897548405204,2.475392843419458,0.9810253078237957,2.2834211634838675,1.5889329985370788,3.171921076737051
ppt,07,0.24598031532107378,1.6029527619129091,0.5631277106672802,0.20893420738641813,0.5320432993370717,0.36888974858081247,0.723937027097687
ppt,08,0.2905905528331366,1.7377165546567421,0.6984118718027013,0.24977979790953656,0.6506259798064946,0.48420864766038313,0.8798385229636365
ppt,09,1.1764133633591058,4.663932980514887,2.10141542013147,0.6257815222013097,1.9749566325991175,1.5658621900663603,2.525389663816437
ppt,10,3.1711377121332127,13.438224492110606,5.441943724988913,1.716424496142729,5.082515806663694,3.926728316179411,6.691492035632997
ppt,11,5.800665307232714,25.31605878214198,9.51038052646106,2.913493103166094,8.871850441759966,6.8579882524144935,11.714488352377584
ppt,12,6.597003486212784,31.1442481814407,11.086601657636713,3.4351280213851734,10.402004211906373,7.95361796701987,13.655232106606793
ppt,annual,38.42437023252953,168.49188376599412,65.68747455138636,20.53425050303775,61.39846441313977,46.97791392408957,80.85543414739173
