variable,month,min,max,mean,sd,median,q25,q75
tmean,01,-6.894799709320068,5.469299793243408,3.444664598479658,1.850555086834316,4.039999961853027,2.5160000324249268,4.968100070953369
tmean,02,-8.021200180053711,6.647299766540527,4.27627645521752,2.1757790298916477,5.055099964141846,3.0051000118255615,6.085899829864502
tmean,03,-8.05929946899414,8.738299369812012,5.8994063789184255,2.378874213491356,6.731299877166748,4.383299827575684,7.938499927520752
tmean,04,-6.702699661254883,11.253499984741211,7.9917329065885925,2.4431726252015626,8.839300155639648,6.442999839782715,9.99940013885498
tmean,05,-2.544999837875366,14.65429973602295,11.582013728972383,2.2166757542313937,12.334799766540527,10.322400093078613,13.237799644470215
tmean,06,0.9580999612808228,17.281599044799805,14.429592119089795,1.9880653215538613,15.065199851989746,13.329400062561035,15.948899269104004
tmean,07,6.151299953460693,20.572999954223633,18.357735163402992,1.5333038998422754,18.829999923706055,17.515499114990234,19.504899978637695
tmean,08,6.317599773406982,20.75979995727539,18.52856777088689,1.5214510225652145,19.00079917907715,17.737699508666992,19.621198654174805
tmean,09,3.9203999042510986,17.93269920349121,15.797601175859262,1.6230148942583222,16.364898681640625,14.957799911499023,16.994199752807617
tmean,10,-0.6065999865531921,12.862199783325195,10.536764071624908,1.8176297035411682,11.230199813842773,9.506599426269531,11.940799713134766
tmean,11,-5.219699859619141,8.238399505615234,5.779935403873448,1.9944055853797074,6.515399932861328,4.579599857330322,7.412499904632568
tmean,12,-7.398599624633789,5.236099720001221,2.9838490066443946,1.9604972966649965,3.6303999423980713,1.90749990940094,4.620999813079834
tmean,annual,-2.3399999141693115,12.449999809265137,9.967253328420702,1.931726945330961,10.59999942779541,8.920000076293945,11.519999504089355
ppt,01,142.89089965820313,702.44287109375,240.6796980931417,77.91619388598373,221.68289184570313,169.76480102539063,298.5809020996094
ppt,02,100.10089874267578,537.91900634765625,178.82422737504405,55.34452523505402,166.88800048828125,129.12889099121094,218.97589111328125
ppt,03,100.56189727783203,493.14990234375,190.43623188480893,61.71994701824463,178.2469024658203,134.4918975830078,234.06700134277344
ppt,04,72.6448974609375,376.4468994140625,149.28681485546824,52.6264141410921,142.80490112304688,100.22100067138672,187.07489013671875
ppt,05,50.50090026855469,235.98789978027344,99.55214164296926,35.17239113503615,94.6240005493164,66.12590026855469,125.69889831542969
ppt,06,28.73189926147461,158.6457977294922,62.87497822285423,24.91804281872441,57.998897552490234,40.3588981628418,80.5667953491211
ppt,07,6.247900009155273,40.71500015258789,14.303443850948915,5.30692886761502,13.513899803161621,9.369799613952637,18.38800048828125
ppt,08,7.38100004196167,44.13800048828125,17.73966154378861,6.344406866902228,16.52589988708496,12.29889965057373,22.347898483276367
ppt,09,29.88089942932129,118.46389770507813,53.37595167133933,15.894850663913266,50.16389846801758,39.77289962768555,64.1448974609375
ppt,10,80.5468978881836,341.3309020996094,138.22537061471837,43.597182202025316,129.0959014892578,99.73889923095703,169.96389770507813
ppt,11,147.33689880371094,643.02789306640625,241.5636653721109,74.00272482041878,225.34500122070313,174.19290161132813,297.5480041503906
ppt,12,167.5638885498047,791.06390380859375,281.5996821039725,87.2522517431834,264.2109069824219,202.0218963623047,346.8428955078125
ppt,annual,975.97900390625,4279.69384765625,1668.4618536052133,521.5699627771588,1559.52099609375,1193.239013671875,2053.72802734375
