Probability,CI_95,CI_5,Posterior_Predictive,Posterior_Mode,Analysis
5.00E-05,45960.01095,25567.80517,36727.0249,33731.22218,4b - CGR_3day_winter_paleo_best_RRFT_noPISBest
0.0001,40887.64116,23938.17897,32993.06971,30815.71656,4b - CGR_3day_winter_paleo_best_RRFT_noPISBest
0.0002,36283.59067,22312.47729,29609.62303,28053.13179,4b - CGR_3day_winter_paleo_best_RRFT_noPISBest
0.0005,30789.72882,20168.98889,25600.74322,24623.49775,4b - CGR_3day_winter_paleo_best_RRFT_noPISBest
0.001,27115.08352,18577.13028,22867.91601,22187.86225,4b - CGR_3day_winter_paleo_best_RRFT_noPISBest
0.002,23748.64095,16976.38889,20353.85607,19880.76583,4b - CGR_3day_winter_paleo_best_RRFT_noPISBest
0.005,19776.29101,14847.15075,17312.71236,17014.97988,4b - CGR_3day_winter_paleo_best_RRFT_noPISBest
0.01,17120.67452,13263.82703,15189.53073,14975.41487,4b - CGR_3day_winter_paleo_best_RRFT_noPISBest
0.02,14713.82818,11682.26909,13191.12515,13035.56818,4b - CGR_3day_winter_paleo_best_RRFT_noPISBest
0.05,11823.85074,9611.69301,10700.85158,10602.91784,4b - CGR_3day_winter_paleo_best_RRFT_noPISBest
0.1,9791.783857,8043.943218,8898.635426,8838.812222,4b - CGR_3day_winter_paleo_best_RRFT_noPISBest
0.2,7826.540373,6466.119569,7126.66944,7104.524832,4b - CGR_3day_winter_paleo_best_RRFT_noPISBest
0.3,6673.805692,5528.360202,6077.339941,6077.230805,4b - CGR_3day_winter_paleo_best_RRFT_noPISBest
0.5,5129.061292,4268.762735,4679.079038,4705.668278,4b - CGR_3day_winter_paleo_best_RRFT_noPISBest
0.7,3966.811669,3281.407845,3612.057169,3654.550607,4b - CGR_3day_winter_paleo_best_RRFT_noPISBest
0.8,3416.924081,2785.599543,3092.138358,3140.859991,4b - CGR_3day_winter_paleo_best_RRFT_noPISBest
0.9,2803.604101,2188.320368,2493.786257,2550.323574,4b - CGR_3day_winter_paleo_best_RRFT_noPISBest
0.95,2404.56604,1778.823562,2085.29954,2150.69224,4b - CGR_3day_winter_paleo_best_RRFT_noPISBest
0.98,2045.479324,1391.668565,1696.784548,1778.305922,4b - CGR_3day_winter_paleo_best_RRFT_noPISBest
0.99,1850.084391,1172.919581,1471.025845,1568.154292,4b - CGR_3day_winter_paleo_best_RRFT_noPISBest
1.00E-06,125543.6239,51390.22383,95353.79743,81296.49846,4c - CGR_3day_winter_paleo_younger_RRFT
2.00E-06,110707.9334,48219.61686,84510.98269,73793.67704,4c - CGR_3day_winter_paleo_younger_RRFT
5.00E-06,93687.25412,43984.17207,72057.4398,64723.86839,4c - CGR_3day_winter_paleo_younger_RRFT
1.00E-05,82351.20858,41011.91926,63861.16652,58457.78362,4c - CGR_3day_winter_paleo_younger_RRFT
2.00E-05,72272.29778,38038.2799,56578.97222,52666.38124,4c - CGR_3day_winter_paleo_younger_RRFT
5.00E-05,60517.84711,34250.50228,48161.61599,45684.95349,4c - CGR_3day_winter_paleo_younger_RRFT
0.0001,52741.10875,31471.33892,42585.94613,40875.45903,4c - CGR_3day_winter_paleo_younger_RRFT
0.0002,45862.44784,28828.65543,37599.21379,36441.23936,4c - CGR_3day_winter_paleo_younger_RRFT
0.0005,37912.23782,25487.44873,31787.13859,31110.78159,4c - CGR_3day_winter_paleo_younger_RRFT
0.001,32758.2137,23011.55424,27897.95014,27448.41355,4c - CGR_3day_winter_paleo_younger_RRFT
0.002,28199.50188,20581.16671,24384.48,24078.61996,4c - CGR_3day_winter_paleo_younger_RRFT
0.005,22919.78266,17557.79502,20233.26987,20034.74191,4c - CGR_3day_winter_paleo_younger_RRFT
0.01,19493.57942,15322.39413,17411.03927,17258.16216,4c - CGR_3day_winter_paleo_younger_RRFT
0.02,16467.32301,13185.32115,14821.71021,14700.5237,4c - CGR_3day_winter_paleo_younger_RRFT
0.05,12920.21531,10497.90329,11699.55368,11615.57586,4c - CGR_3day_winter_paleo_younger_RRFT
0.1,10501.42802,8576.837855,9522.128762,9470.04914,4c - CGR_3day_winter_paleo_younger_RRFT
0.2,8228.881194,6743.11678,7457.800993,7442.180691,4c - CGR_3day_winter_paleo_younger_RRFT
0.3,6918.216889,5682.266401,6274.687637,6281.839033,4c - CGR_3day_winter_paleo_younger_RRFT
0.5,5224.964499,4320.628236,4748.203166,4783.621122,4c - CGR_3day_winter_paleo_younger_RRFT
0.7,3994.334886,3289.075406,3624.979576,3677.625927,4c - CGR_3day_winter_paleo_younger_RRFT
0.8,3420.104518,2778.781465,3091.707689,3151.218907,4c - CGR_3day_winter_paleo_younger_RRFT
0.9,2796.99076,2186.500801,2489.738468,2557.924982,4c - CGR_3day_winter_paleo_younger_RRFT
0.95,2401.789419,1769.922165,2085.888831,2163.717993,4c - CGR_3day_winter_paleo_younger_RRFT
0.98,2053.419188,1387.993984,1706.253398,1801.621387,4c - CGR_3day_winter_paleo_younger_RRFT
0.99,1864.11128,1175.092336,1486.728219,1599.416074,4c - CGR_3day_winter_paleo_younger_RRFT
1.00E-06,102511.2075,43081.38215,79284.52367,67410.15491,4d - CGR_3day_winter_paleo_older_RRFT
2.00E-06,91325.43572,40688.45988,70873.57252,61781.54805,4d - CGR_3day_winter_paleo_older_RRFT
5.00E-06,78293.66336,37664.19865,61127.53438,54882.73393,4d - CGR_3day_winter_paleo_older_RRFT
1.00E-05,69658.75534,35444.37317,54660.85267,50049.14195,4d - CGR_3day_winter_paleo_older_RRFT
2.00E-05,61806.60517,33197.99233,48869.9051,45527.06093,4d - CGR_3day_winter_paleo_older_RRFT
5.00E-05,52528.84596,30286.76779,42115.83982,39997.77298,4d - CGR_3day_winter_paleo_older_RRFT
0.0001,46304.78136,28122.11737,37599.17242,36133.06647,4d - CGR_3day_winter_paleo_older_RRFT
0.0002,40739.43452,25983.03419,33522.79318,32524.75683,4d - CGR_3day_winter_paleo_older_RRFT
0.0005,34189.27336,23242.32544,28719.2526,28122.55102,4d - CGR_3day_winter_paleo_older_RRFT
0.001,29861.93745,21197.58234,25464.94041,25051.75081,4d - CGR_3day_winter_paleo_older_RRFT
0.002,25941.94436,19185.48274,22489.24238,22188.53303,4d - CGR_3day_winter_paleo_older_RRFT
0.005,21384.83898,16508.84003,18919.80928,18698.17586,4d - CGR_3day_winter_paleo_older_RRFT
0.01,18359.34053,14537.83318,16452.246,16262.28987,4d - CGR_3day_winter_paleo_older_RRFT
0.02,15653.46605,12639.12446,14153.01994,13985.77736,4d - CGR_3day_winter_paleo_older_RRFT
0.05,12471.036,10184.71731,11326.67692,11191.43142,4d - CGR_3day_winter_paleo_older_RRFT
0.1,10261.74761,8400.547027,9314.387981,9211.302837,4d - CGR_3day_winter_paleo_older_RRFT
0.2,8122.819266,6661.982447,7369.403718,7306.772782,4d - CGR_3day_winter_paleo_older_RRFT
0.3,6878.010737,5641.915891,6236.034611,6200.247857,4d - CGR_3day_winter_paleo_older_RRFT
0.5,5227.847239,4318.652201,4750.708268,4750.514606,4d - CGR_3day_winter_paleo_older_RRFT
0.7,4005.891656,3301.345821,3638.94092,3662.894281,4d - CGR_3day_winter_paleo_older_RRFT
0.8,3433.868766,2788.173971,3104.727559,3139.383561,4d - CGR_3day_winter_paleo_older_RRFT
0.9,2804.732952,2177.403017,2496.265481,2544.460535,4d - CGR_3day_winter_paleo_older_RRFT
0.95,2404.915884,1759.664728,2084.605597,2146.193635,4d - CGR_3day_winter_paleo_older_RRFT
0.98,2050.195894,1369.596682,1695.214637,1778.2709,4d - CGR_3day_winter_paleo_older_RRFT
0.99,1855.314006,1150.91217,1469.330329,1571.977858,4d - CGR_3day_winter_paleo_older_RRFT
1.00E-06,98154.74015,38355.08552,74993.16586,58372.89746,4e - CGR_3day_winter_paleo_best_RRFT_noPISUpper
2.00E-06,87519.78752,36305.11976,66925.16299,53827.48012,4e - CGR_3day_winter_paleo_best_RRFT_noPISUpper
5.00E-06,75150.11974,33682.53353,57618.17603,48207.96133,4e - CGR_3day_winter_paleo_best_RRFT_noPISUpper
1.00E-05,66777.69021,31712.29372,51465.44183,44235.86948,4e - CGR_3day_winter_paleo_best_RRFT_noPISUpper
2.00E-05,59289.60301,29746.5896,45976.84049,40491.17359,4e - CGR_3day_winter_paleo_best_RRFT_noPISUpper
5.00E-05,50351.16912,27207.35816,39600.87368,35871.00499,4e - CGR_3day_winter_paleo_best_RRFT_noPISUpper
0.0001,44428.34397,25318.20777,35353.54596,32611.82019,4e - CGR_3day_winter_paleo_best_RRFT_noPISUpper
0.0002,39111.9816,23485.13266,31532.70346,29544.22492,4e - CGR_3day_winter_paleo_best_RRFT_noPISUpper
0.0005,32959.77835,21067.35493,27044.42059,25765.87561,4e - CGR_3day_winter_paleo_best_RRFT_noPISUpper
0.001,28768.35899,19283.63787,24012.19884,23104.22699,4e - CGR_3day_winter_paleo_best_RRFT_noPISUpper
0.002,25069.34656,17494.17976,21244.39301,20600.89666,4e - CGR_3day_winter_paleo_best_RRFT_noPISUpper
0.005,20641.66526,15225.41731,17928.00294,17517.48807,4e - CGR_3day_winter_paleo_best_RRFT_noPISUpper
0.01,17742.94274,13539.81943,15636.85845,15342.17036,4e - CGR_3day_winter_paleo_best_RRFT_noPISUpper
0.02,15118.18875,11883.92474,13500.66135,13289.28854,4e - CGR_3day_winter_paleo_best_RRFT_noPISUpper
0.05,12044.02261,9730.138067,10869.97441,10739.16064,4e - CGR_3day_winter_paleo_best_RRFT_noPISUpper
0.1,9908.804916,8103.690182,8989.814708,8908.501775,4e - CGR_3day_winter_paleo_best_RRFT_noPISUpper
0.2,7878.119632,6501.30635,7162.346927,7125.792557,4e - CGR_3day_winter_paleo_best_RRFT_noPISUpper
0.3,6689.265357,5541.597509,6090.488533,6078.532756,4e - CGR_3day_winter_paleo_best_RRFT_noPISUpper
0.5,5130.4246,4264.434657,4674.800178,4691.393809,4e - CGR_3day_winter_paleo_best_RRFT_noPISUpper
0.7,3961.10967,3276.671867,3604.588777,3637.623314,4e - CGR_3day_winter_paleo_best_RRFT_noPISUpper
0.8,3407.116456,2779.699716,3086.488184,3125.754073,4e - CGR_3day_winter_paleo_best_RRFT_noPISUpper
0.9,2795.768626,2187.349732,2493.173719,2539.915233,4e - CGR_3day_winter_paleo_best_RRFT_noPISUpper
0.95,2399.734334,1781.993122,2090.008645,2145.03306,4e - CGR_3day_winter_paleo_best_RRFT_noPISUpper
0.98,2045.245576,1404.505576,1707.812755,1778.153705,4e - CGR_3day_winter_paleo_best_RRFT_noPISUpper
0.99,1850.968844,1189.817944,1485.977185,1571.523249,4e - CGR_3day_winter_paleo_best_RRFT_noPISUpper
1.00E-06,98367.87001,38298.68056,75792.35009,60626.26733,4f - CGR_3day_winter_paleo_best_RRFT_noPISUp_Ext
2.00E-06,87702.02216,36308.84588,67594.75193,55773.66243,4f - CGR_3day_winter_paleo_best_RRFT_noPISUp_Ext
5.00E-06,75313.26204,33639.14966,58139.30252,49795.72981,4f - CGR_3day_winter_paleo_best_RRFT_noPISUp_Ext
1.00E-05,67021.81957,31697.82886,51891.11993,45585.56691,4f - CGR_3day_winter_paleo_best_RRFT_noPISUp_Ext
2.00E-05,59545.63185,29790.2852,46320.81606,41628.86099,4f - CGR_3day_winter_paleo_best_RRFT_noPISUp_Ext
5.00E-05,50732.44151,27195.53616,39854.32066,36764.98585,4f - CGR_3day_winter_paleo_best_RRFT_noPISUp_Ext
0.0001,44775.38477,25309.81295,35549.92401,33346.67039,4f - CGR_3day_winter_paleo_best_RRFT_noPISUp_Ext
0.0002,39427.54456,23457.77537,31682.71658,30139.72663,4f - CGR_3day_winter_paleo_best_RRFT_noPISUp_Ext
0.0005,33116.24298,21042.63871,27144.65612,26204.76641,4f - CGR_3day_winter_paleo_best_RRFT_noPISUp_Ext
0.001,28906.12278,19252.46393,24082.5089,23443.58478,4f - CGR_3day_winter_paleo_best_RRFT_noPISUp_Ext
0.002,25139.19472,17504.75691,21291.28628,20855.48991,4f - CGR_3day_winter_paleo_best_RRFT_noPISUp_Ext
0.005,20709.26827,15248.50898,17952.72999,17680.52478,4f - CGR_3day_winter_paleo_best_RRFT_noPISUp_Ext
0.01,17764.29412,13555.39567,15649.36916,15449.95169,4f - CGR_3day_winter_paleo_best_RRFT_noPISUp_Ext
0.02,15127.43626,11889.98126,13505.03111,13352.71079,4f - CGR_3day_winter_paleo_best_RRFT_noPISUp_Ext
0.05,12044.24674,9713.050516,10868.18505,10759.10999,4f - CGR_3day_winter_paleo_best_RRFT_noPISUp_Ext
0.1,9909.933552,8107.628159,8986.368074,8906.078342,4f - CGR_3day_winter_paleo_best_RRFT_noPISUp_Ext
0.2,7870.346557,6487.26124,7159.443516,7109.537692,4f - CGR_3day_winter_paleo_best_RRFT_noPISUp_Ext
0.3,6683.747199,5533.729214,6088.86608,6058.180432,4f - CGR_3day_winter_paleo_best_RRFT_noPISUp_Ext
0.5,5123.568073,4259.17645,4675.834925,4670.648973,4f - CGR_3day_winter_paleo_best_RRFT_noPISUp_Ext
0.7,3962.831423,3272.546333,3608.235251,3620.715151,4f - CGR_3day_winter_paleo_best_RRFT_noPISUp_Ext
0.8,3411.332163,2782.718026,3091.4992,3112.065608,4f - CGR_3day_winter_paleo_best_RRFT_noPISUp_Ext
0.9,2799.386403,2194.061712,2499.677027,2531.010433,4f - CGR_3day_winter_paleo_best_RRFT_noPISUp_Ext
0.95,2407.339245,1786.58762,2097.355422,2139.991623,4f - CGR_3day_winter_paleo_best_RRFT_noPISUp_Ext
0.98,2054.468743,1409.379288,1715.712155,1777.116026,4f - CGR_3day_winter_paleo_best_RRFT_noPISUp_Ext
0.99,1864.189304,1197.195277,1494.094899,1572.885163,4f - CGR_3day_winter_paleo_best_RRFT_noPISUp_Ext
1.00E-06,121229.5497,43674.36569,91399.07279,76239.65373,8c - CGR_3day_annual_PF_2018
2.00E-06,106481.3528,41107.44199,80675.49358,69083.84037,8c - CGR_3day_annual_PF_2018
5.00E-06,89983.26085,37821.75292,68454.27503,60482.26387,8c - CGR_3day_annual_PF_2018
1.00E-05,78914.29381,35438.55955,60477.5587,54572.21679,8c - CGR_3day_annual_PF_2018
2.00E-05,69140.44496,33035.9171,53441.28371,49134.49375,8c - CGR_3day_annual_PF_2018
5.00E-05,57850.46216,30024.00346,45375.14591,42611.93969,8c - CGR_3day_annual_PF_2018
0.0001,50515.3051,27850.30335,40075.93915,38139.82104,8c - CGR_3day_annual_PF_2018
0.0002,43991.72823,25731.31449,35372.60634,34032.3067,8c - CGR_3day_annual_PF_2018
0.0005,36530.74536,22946.65785,29935.24146,29114.55968,8c - CGR_3day_annual_PF_2018
0.001,31572.72053,20933.84659,26327.00892,25748.21006,8c - CGR_3day_annual_PF_2018
0.002,27192.49988,18930.08487,23087.95613,22659.37116,8c - CGR_3day_annual_PF_2018
0.005,22260.1252,16372.71787,19285.37553,18962.52764,8c - CGR_3day_annual_PF_2018
0.01,19012.65402,14469.95734,16711.04677,16429.38547,8c - CGR_3day_annual_PF_2018
0.02,16114.29813,12619.12891,14352.4048,14098.41508,8c - CGR_3day_annual_PF_2018
0.05,12797.00623,10261.36775,11502.91041,11287.22106,8c - CGR_3day_annual_PF_2018
0.1,10529.81086,8524.025608,9504.432774,9329.371203,8c - CGR_3day_annual_PF_2018
0.2,8395.912292,6837.149221,7593.106297,7472.986812,8c - CGR_3day_annual_PF_2018
0.3,7165.494489,5864.760749,6486.866941,6405.911934,8c - CGR_3day_annual_PF_2018
0.5,5539.888478,4595.740675,5043.22579,5018.933939,8c - CGR_3day_annual_PF_2018
0.7,4347.422262,3619.787922,3965.003042,3984.100892,8c - CGR_3day_annual_PF_2018
0.8,3784.652126,3130.217205,3446.711185,3486.412948,8c - CGR_3day_annual_PF_2018
0.9,3165.575339,2537.773272,2854.839321,2919.648074,8c - CGR_3day_annual_PF_2018
0.95,2770.494043,2113.834396,2451.85851,2538.416634,8c - CGR_3day_annual_PF_2018
0.98,2421.259049,1706.536549,2065.273858,2183.761507,8c - CGR_3day_annual_PF_2018
0.99,2230.652381,1472.386398,1835.540009,1983.30128,8c - CGR_3day_annual_PF_2018
