Cougar_3day_inflow,Sample_AEP
16541.23273,AEP = 0.001
19692.7339,AEP = 0.001
20495.839,AEP = 0.001
24043.86416,AEP = 0.001
23175.04088,AEP = 0.001
22478.09286,AEP = 0.001
27431.36879,AEP = 0.001
19582.33745,AEP = 0.001
18678.69118,AEP = 0.001
25239.0959,AEP = 0.001
17054.02612,AEP = 0.001
24377.88629,AEP = 0.001
17552.3187,AEP = 0.001
16956.13129,AEP = 0.001
23747.49743,AEP = 0.001
18562.85276,AEP = 0.001
17689.89657,AEP = 0.001
24842.94187,AEP = 0.001
19340.49073,AEP = 0.001
17605.25315,AEP = 0.001
28342.61813,AEP = 0.001
22089.21442,AEP = 0.001
27523.3191,AEP = 0.001
21713.34305,AEP = 0.001
22528.77862,AEP = 0.001
25962.91878,AEP = 0.001
20796.60047,AEP = 0.001
22166.59661,AEP = 0.001
22286.74362,AEP = 0.001
25118.75862,AEP = 0.001
23707.99577,AEP = 0.001
24813.92615,AEP = 0.001
23386.27398,AEP = 0.001
24585.18388,AEP = 0.001
25647.56005,AEP = 0.001
25018.21525,AEP = 0.001
26126.38719,AEP = 0.001
22259.73605,AEP = 0.001
23203.69697,AEP = 0.001
25079.51408,AEP = 0.001
21443.97008,AEP = 0.001
21062.70317,AEP = 0.001
17225.64245,AEP = 0.001
23507.77562,AEP = 0.001
21381.63092,AEP = 0.001
23206.74955,AEP = 0.001
18050.58164,AEP = 0.001
20849.97001,AEP = 0.001
16310.9777,AEP = 0.001
15584.65484,AEP = 0.001
23924.07997,AEP = 0.001
15906.31406,AEP = 0.001
21654.62928,AEP = 0.001
22085.61277,AEP = 0.001
23954.70074,AEP = 0.001
15720.51578,AEP = 0.001
20558.16593,AEP = 0.001
29838.24583,AEP = 0.001
29057.85983,AEP = 0.001
16967.26074,AEP = 0.001
19455.89777,AEP = 0.001
22434.80475,AEP = 0.001
20481.21772,AEP = 0.001
19485.95186,AEP = 0.001
23315.14374,AEP = 0.001
18650.24173,AEP = 0.001
19344.35986,AEP = 0.001
18318.04457,AEP = 0.001
20594.71649,AEP = 0.001
17345.15747,AEP = 0.001
22003.16681,AEP = 0.001
21115.72938,AEP = 0.001
20714.60855,AEP = 0.001
16913.28519,AEP = 0.001
22931.30275,AEP = 0.001
22945.80969,AEP = 0.001
18159.8216,AEP = 0.001
17301.14929,AEP = 0.001
16940.70876,AEP = 0.001
23674.43052,AEP = 0.001
22648.24454,AEP = 0.001
22252.54819,AEP = 0.001
21742.92812,AEP = 0.001
24710.86034,AEP = 0.001
24729.24666,AEP = 0.001
24512.15608,AEP = 0.001
25020.01545,AEP = 0.001
17431.52006,AEP = 0.001
17490.98508,AEP = 0.001
18229.5476,AEP = 0.001
18428.95611,AEP = 0.001
17761.00234,AEP = 0.001
21984.18175,AEP = 0.001
23422.07717,AEP = 0.001
23428.50833,AEP = 0.001
25060.82774,AEP = 0.001
27222.06516,AEP = 0.001
22396.7355,AEP = 0.001
25457.40616,AEP = 0.001
14899.11548,AEP = 0.001
21284.5348,AEP = 0.001
20842.41625,AEP = 0.001
20106.13475,AEP = 0.001
16223.28866,AEP = 0.001
18114.29452,AEP = 0.001
23100.94333,AEP = 0.001
18842.18939,AEP = 0.001
19612.15162,AEP = 0.001
15440.81668,AEP = 0.001
20739.57411,AEP = 0.001
19489.43206,AEP = 0.001
