Percent_Time_Exceedance,Elev_ft_88,Project,Operations
0.81582,"1,696.40",Cougar,Observed
0.82122,"1,696.40",Cougar,Observed
0.82662,"1,696.40",Cougar,Observed
0.83203,"1,696.40",Cougar,Observed
0.83743,"1,696.40",Cougar,Observed
0.84283,"1,696.40",Cougar,Observed
0.84824,"1,696.40",Cougar,Observed
0.85364,"1,696.40",Cougar,Observed
0.85904,"1,696.40",Cougar,Observed
0.86444,"1,696.40",Cougar,Observed
0.86985,"1,696.40",Cougar,Observed
0.87525,"1,696.40",Cougar,Observed
0.88065,"1,696.40",Cougar,Observed
0.88606,"1,696.40",Cougar,Observed
0.89146,"1,696.40",Cougar,Observed
0.89686,"1,696.40",Cougar,Observed
0.90226,"1,696.40",Cougar,Observed
0.90767,"1,696.40",Cougar,Observed
0.91307,"1,696.40",Cougar,Observed
0.91847,"1,696.40",Cougar,Observed
0.92387,"1,696.40",Cougar,Observed
0.92928,"1,696.40",Cougar,Observed
0.93468,"1,696.40",Cougar,Observed
0.94008,"1,696.40",Cougar,Observed
0.94549,"1,696.40",Cougar,Observed
0.95089,"1,696.40",Cougar,Observed
0.95629,"1,696.40",Cougar,Observed
0.96169,"1,696.30",Cougar,Observed
0.9671,"1,696.30",Cougar,Observed
0.9725,"1,696.30",Cougar,Observed
0.9779,"1,696.30",Cougar,Observed
0.98331,"1,696.30",Cougar,Observed
0.98871,"1,696.30",Cougar,Observed
0.99411,"1,696.30",Cougar,Observed
0.99951,"1,696.30",Cougar,Observed
1.0049,"1,696.30",Cougar,Observed
1.0103,"1,696.30",Cougar,Observed
1.0157,"1,696.30",Cougar,Observed
1.0211,"1,696.30",Cougar,Observed
1.0265,"1,696.30",Cougar,Observed
1.0319,"1,696.30",Cougar,Observed
1.0373,"1,696.30",Cougar,Observed
1.0427,"1,696.30",Cougar,Observed
1.0481,"1,696.30",Cougar,Observed
1.0535,"1,696.30",Cougar,Observed
1.0589,"1,696.30",Cougar,Observed
1.0643,"1,696.30",Cougar,Observed
1.0697,"1,696.30",Cougar,Observed
1.0752,"1,696.30",Cougar,Observed
1.0806,"1,696.20",Cougar,Observed
1.086,"1,696.20",Cougar,Observed
1.0914,"1,696.20",Cougar,Observed
1.0968,"1,696.20",Cougar,Observed
1.1022,"1,696.20",Cougar,Observed
1.1076,"1,696.20",Cougar,Observed
1.113,"1,696.20",Cougar,Observed
1.1184,"1,696.20",Cougar,Observed
1.1238,"1,696.20",Cougar,Observed
1.1292,"1,696.20",Cougar,Observed
1.1346,"1,696.20",Cougar,Observed
1.14,"1,696.20",Cougar,Observed
1.1454,"1,696.20",Cougar,Observed
1.1508,"1,696.20",Cougar,Observed
1.1562,"1,696.20",Cougar,Observed
1.1616,"1,696.20",Cougar,Observed
1.167,"1,696.20",Cougar,Observed
1.1724,"1,696.20",Cougar,Observed
1.1778,"1,696.20",Cougar,Observed
1.1832,"1,696.20",Cougar,Observed
1.1886,"1,696.20",Cougar,Observed
1.194,"1,696.10",Cougar,Observed
1.1994,"1,696.10",Cougar,Observed
1.2048,"1,696.10",Cougar,Observed
1.2102,"1,696.10",Cougar,Observed
1.2156,"1,696.10",Cougar,Observed
1.221,"1,696.10",Cougar,Observed
1.2264,"1,696.10",Cougar,Observed
1.2318,"1,696.10",Cougar,Observed
1.2372,"1,696.10",Cougar,Observed
1.2426,"1,696.00",Cougar,Observed
1.248,"1,696.00",Cougar,Observed
1.2534,"1,696.00",Cougar,Observed
1.2588,"1,696.00",Cougar,Observed
1.2642,"1,696.00",Cougar,Observed
1.2697,"1,696.00",Cougar,Observed
1.2751,"1,696.00",Cougar,Observed
1.2805,"1,696.00",Cougar,Observed
1.2859,"1,696.00",Cougar,Observed
1.2913,"1,696.00",Cougar,Observed
1.2967,"1,696.00",Cougar,Observed
1.3021,"1,696.00",Cougar,Observed
1.3075,"1,696.00",Cougar,Observed
1.3129,"1,696.00",Cougar,Observed
1.3183,"1,696.00",Cougar,Observed
1.3237,"1,696.00",Cougar,Observed
1.3291,"1,696.00",Cougar,Observed
1.3345,"1,696.00",Cougar,Observed
1.3399,"1,696.00",Cougar,Observed
1.3453,"1,696.00",Cougar,Observed
1.3507,"1,696.00",Cougar,Observed
1.3561,"1,696.00",Cougar,Observed
1.3615,"1,696.00",Cougar,Observed
1.3669,"1,696.00",Cougar,Observed
1.3723,"1,695.90",Cougar,Observed
1.3777,"1,695.90",Cougar,Observed
1.3831,"1,695.90",Cougar,Observed
1.3885,"1,695.90",Cougar,Observed
1.3939,"1,695.90",Cougar,Observed
1.3993,"1,695.90",Cougar,Observed
1.4047,"1,695.90",Cougar,Observed
1.4101,"1,695.90",Cougar,Observed
1.4155,"1,695.90",Cougar,Observed
1.4209,"1,695.90",Cougar,Observed
1.4263,"1,695.90",Cougar,Observed
1.4317,"1,695.90",Cougar,Observed
1.4371,"1,695.90",Cougar,Observed
1.4425,"1,695.90",Cougar,Observed
1.4479,"1,695.90",Cougar,Observed
1.4533,"1,695.90",Cougar,Observed
1.4587,"1,695.80",Cougar,Observed
1.4642,"1,695.80",Cougar,Observed
1.4696,"1,695.80",Cougar,Observed
1.475,"1,695.80",Cougar,Observed
1.4804,"1,695.80",Cougar,Observed
1.4858,"1,695.80",Cougar,Observed
1.4912,"1,695.80",Cougar,Observed
1.4966,"1,695.80",Cougar,Observed
1.502,"1,695.80",Cougar,Observed
1.5074,"1,695.80",Cougar,Observed
1.5128,"1,695.80",Cougar,Observed
1.5182,"1,695.80",Cougar,Observed
1.5236,"1,695.80",Cougar,Observed
1.529,"1,695.80",Cougar,Observed
1.5344,"1,695.80",Cougar,Observed
1.5398,"1,695.80",Cougar,Observed
1.5452,"1,695.70",Cougar,Observed
1.5506,"1,695.70",Cougar,Observed
1.556,"1,695.70",Cougar,Observed
1.5614,"1,695.70",Cougar,Observed
1.5668,"1,695.70",Cougar,Observed
1.5722,"1,695.70",Cougar,Observed
1.5776,"1,695.70",Cougar,Observed
1.583,"1,695.70",Cougar,Observed
1.5884,"1,695.70",Cougar,Observed
1.5938,"1,695.70",Cougar,Observed
1.5992,"1,695.70",Cougar,Observed
1.6046,"1,695.70",Cougar,Observed
1.61,"1,695.70",Cougar,Observed
1.6154,"1,695.70",Cougar,Observed
1.6208,"1,695.70",Cougar,Observed
1.6262,"1,695.70",Cougar,Observed
1.6316,"1,695.70",Cougar,Observed
1.637,"1,695.70",Cougar,Observed
1.6424,"1,695.70",Cougar,Observed
1.6478,"1,695.70",Cougar,Observed
1.6532,"1,695.70",Cougar,Observed
1.6587,"1,695.70",Cougar,Observed
1.6641,"1,695.70",Cougar,Observed
1.6695,"1,695.70",Cougar,Observed
1.6749,"1,695.70",Cougar,Observed
1.6803,"1,695.70",Cougar,Observed
1.6857,"1,695.70",Cougar,Observed
1.6911,"1,695.70",Cougar,Observed
1.6965,"1,695.70",Cougar,Observed
1.7019,"1,695.70",Cougar,Observed
1.7073,"1,695.70",Cougar,Observed
1.7127,"1,695.70",Cougar,Observed
1.7181,"1,695.70",Cougar,Observed
1.7235,"1,695.70",Cougar,Observed
1.7289,"1,695.70",Cougar,Observed
1.7343,"1,695.70",Cougar,Observed
1.7397,"1,695.70",Cougar,Observed
1.7451,"1,695.70",Cougar,Observed
1.7505,"1,695.60",Cougar,Observed
1.7559,"1,695.60",Cougar,Observed
1.7613,"1,695.60",Cougar,Observed
1.7667,"1,695.60",Cougar,Observed
1.7721,"1,695.60",Cougar,Observed
1.7775,"1,695.60",Cougar,Observed
1.7829,"1,695.60",Cougar,Observed
1.7883,"1,695.60",Cougar,Observed
1.7937,"1,695.60",Cougar,Observed
1.7991,"1,695.60",Cougar,Observed
1.8045,"1,695.60",Cougar,Observed
1.8099,"1,695.60",Cougar,Observed
1.8153,"1,695.60",Cougar,Observed
1.8207,"1,695.60",Cougar,Observed
1.8261,"1,695.60",Cougar,Observed
1.8315,"1,695.60",Cougar,Observed
1.8369,"1,695.60",Cougar,Observed
1.8423,"1,695.60",Cougar,Observed
1.8477,"1,695.60",Cougar,Observed
1.8532,"1,695.60",Cougar,Observed
1.8586,"1,695.60",Cougar,Observed
1.864,"1,695.60",Cougar,Observed
1.8694,"1,695.60",Cougar,Observed
1.8748,"1,695.60",Cougar,Observed
1.8802,"1,695.60",Cougar,Observed
1.8856,"1,695.60",Cougar,Observed
1.891,"1,695.60",Cougar,Observed
1.8964,"1,695.60",Cougar,Observed
1.9018,"1,695.60",Cougar,Observed
1.9072,"1,695.60",Cougar,Observed
1.9126,"1,695.60",Cougar,Observed
1.918,"1,695.60",Cougar,Observed
1.9234,"1,695.60",Cougar,Observed
1.9288,"1,695.60",Cougar,Observed
1.9342,"1,695.60",Cougar,Observed
1.9396,"1,695.60",Cougar,Observed
